goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkGet/[twindagger/jsonptr]-12         	 9188746	       128.2 ns/op	     136 B/op	       3 allocs/op
BenchmarkGet/[chanced/jsonpointer]-12        	 2437638	       478.1 ns/op	     165 B/op	      13 allocs/op
BenchmarkGet/[mickep76/jsonptr]-12           	 9681992	       117.7 ns/op	      64 B/op	       1 allocs/op
BenchmarkGet/[lestrrat-go/jspointer]-12      	 5581182	       221.9 ns/op	     320 B/op	       9 allocs/op
BenchmarkGet/[dustin/go-jsonpointer]-12      	18506894	        69.20 ns/op	      48 B/op	       1 allocs/op
BenchmarkGet/[qri-io/jsonpointer]-12         	10317028	       118.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkGet/[json-validate/json-pointer-go]-12         	 8924343	       130.5 ns/op	      80 B/op	       2 allocs/op
BenchmarkGet/[go-openapi/jsonpointer]-12                	 3343064	       360.8 ns/op	     277 B/op	      15 allocs/op
BenchmarkGet/[oas3/jsonpointer]-12                      	 7709048	       148.0 ns/op	     144 B/op	       3 allocs/op
BenchmarkGet/[yukithm/json2csv/jsonpointer]-12          	 3258568	       356.1 ns/op	     317 B/op	      17 allocs/op
BenchmarkGet/[dolmen-go/jsonptr]-12                     	22518274	        51.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkGet/[xeipuuv/gojsonpointer]-12                 	 7599366	       149.8 ns/op	     144 B/op	       3 allocs/op
BenchmarkGet/[rnd42/go-jsonpointer]-12                  	 6484650	       174.9 ns/op	     129 B/op	       3 allocs/op
BenchmarkParse/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12         	 7486393	       164.2 ns/op	     184 B/op	       9 allocs/op
BenchmarkParse/"/definitions/Location"/[encoding/json/jsontext]-12               	43071786	        29.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/definitions/Location"/[chanced/jsonpointer]-12                  	55969610	        21.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/definitions/Location"/[qri-io/jsonpointer]-12                   	13997138	        84.55 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[go-openapi/jsonpointer]-12               	16889743	        67.04 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/definitions/Location"/[dolmen-go/jsonptr]-12                    	24900505	        42.95 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[xeipuuv/gojsonpointer]-12                	29387109	        37.92 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[rnd42/go-jsonpointer]-12                 	 8679231	       141.4 ns/op	     121 B/op	       3 allocs/op
BenchmarkParse/"/definitions/Location"/[twindagger/jsonptr]-12                   	12529183	       101.0 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/definitions/Location"/[lestrrat-go/jspointer]-12                	10522075	       122.6 ns/op	     184 B/op	       4 allocs/op
BenchmarkParse/"/definitions/Location"/[json-validate/json-pointer-go]-12        	13057461	        91.07 ns/op	      72 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[oas3/jsonpointer]-12                     	32433216	        37.60 ns/op	      56 B/op	       2 allocs/op
