goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkGet/[dolmen-go/jsonptr]-12 	22205626	        55.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkGet/[dustin/go-jsonpointer]-12         	15714438	        72.33 ns/op	      48 B/op	       1 allocs/op
BenchmarkGet/[twindagger/jsonptr]-12            	 8356081	       152.9 ns/op	     136 B/op	       3 allocs/op
BenchmarkGet/[oas3/jsonpointer]-12              	 7349906	       173.2 ns/op	     144 B/op	       3 allocs/op
BenchmarkGet/[crhntr/jsonschema/jsonptr]-12     	 2528778	       477.7 ns/op	      80 B/op	       6 allocs/op
BenchmarkGet/[lestrrat-go/jspointer]-12         	 4559120	       249.1 ns/op	     320 B/op	       9 allocs/op
BenchmarkGet/[json-validate/json-pointer-go]-12 	 8274420	       140.5 ns/op	      80 B/op	       2 allocs/op
BenchmarkGet/[kaptinlin/jsonpointer]-12         	 8502080	       141.9 ns/op	      96 B/op	       2 allocs/op
BenchmarkGet/[xeipuuv/gojsonpointer]-12         	 6904054	       175.8 ns/op	     144 B/op	       3 allocs/op
BenchmarkGet/[mickep76/jsonptr]-12              	 8174250	       144.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkGet/[rnd42/go-jsonpointer]-12          	 5330689	       212.1 ns/op	     129 B/op	       3 allocs/op
BenchmarkGet/[go-openapi/jsonpointer]-12        	 2896323	       419.7 ns/op	     277 B/op	      15 allocs/op
BenchmarkGet/[yukithm/json2csv/jsonpointer]-12  	 2711884	       430.5 ns/op	     317 B/op	      17 allocs/op
BenchmarkGet/[Jeffail/gabs/v2]-12               	 4704820	       250.3 ns/op	     165 B/op	      10 allocs/op
BenchmarkGet/[qri-io/jsonpointer]-12            	 8324962	       146.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkGet/[chanced/jsonpointer]-12           	 1780286	       627.9 ns/op	     165 B/op	      13 allocs/op
BenchmarkGetRawBytes/[dolmen-go/jsonptr]-12     	 1000000	      1197 ns/op	     712 B/op	      21 allocs/op
BenchmarkGetRawBytes/[crhntr/jsonschema/jsonptr]-12         	  693522	      1693 ns/op	    1248 B/op	      20 allocs/op
BenchmarkGetRawBytes/[Jeffail/gabs/v2]-12                   	  530328	      1965 ns/op	    1098 B/op	      30 allocs/op
BenchmarkParse/"/definitions/Location"/[dolmen-go/jsonptr]-12         	29413885	        52.15 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[rnd42/go-jsonpointer]-12      	 7002066	       176.8 ns/op	     121 B/op	       3 allocs/op
BenchmarkParse/"/definitions/Location"/[encoding/json/jsontext]-12    	34795724	        33.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/definitions/Location"/[qri-io/jsonpointer]-12        	11896515	       100.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[chanced/jsonpointer]-12       	45875337	        25.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/definitions/Location"/[oas3/jsonpointer]-12          	28536768	        44.72 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[lestrrat-go/jspointer]-12     	 6956479	       152.3 ns/op	     184 B/op	       4 allocs/op
BenchmarkParse/"/definitions/Location"/[xeipuuv/gojsonpointer]-12     	28652355	        48.29 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12 	40332540	        31.08 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/definitions/Location"/[go-openapi/jsonpointer]-12    	14014698	        82.77 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12         	 6033031	       203.8 ns/op	     184 B/op	       9 allocs/op
BenchmarkParse/"/definitions/Location"/[twindagger/jsonptr]-12                   	10056747	       129.0 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/definitions/Location"/[json-validate/json-pointer-go]-12        	10276177	       110.9 ns/op	      72 B/op	       2 allocs/op
BenchmarkParse/"/definitions/Location"/[kaptinlin/jsonpointer]-12                	11329851	       101.4 ns/op	      88 B/op	       3 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                    	 7125488	       155.5 ns/op	      72 B/op	       3 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12                   	37530412	        27.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                      	23287513	        47.84 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                 	 7149589	       153.9 ns/op	     184 B/op	       4 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                 	24864880	        48.62 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12             	32164130	        32.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                	12378099	        88.88 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12          	 4120476	       259.0 ns/op	     173 B/op	       9 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                    	 5970787	       204.9 ns/op	     120 B/op	       4 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12         	 6134420	       175.5 ns/op	      88 B/op	       3 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[kaptinlin/jsonpointer]-12                 	 7932661	       142.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                     	10780098	        99.55 ns/op	      72 B/op	       3 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                  	 4076556	       317.6 ns/op	     137 B/op	       4 allocs/op
BenchmarkParse/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                	36425726	        38.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12             	 5821741	       211.5 ns/op	      96 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[kaptinlin/jsonpointer]-12                     	 8777162	       144.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                         	11998803	        93.06 ns/op	      64 B/op	       3 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                      	 3459258	       342.5 ns/op	     137 B/op	       5 allocs/op
